,Component,SMILES,Count
0,water,O,10898
1,heptane,CCCCCCC,3130
2,methyl tert-butyl ether,COC(C)(C)C,2321
3,octane,CCCCCCCC,2037
4,toluene,Cc1ccccc1,1857
5,nonane,CCCCCCCCC,1477
6,cyclohexane,C1CCCCC1,1362
7,methylcyclohexane,CC1CCCCC1,1225
8,dibutyl ether,CCCCOCCCC,1198
9,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,1165
10,decane,CCCCCCCCCC,1102
11,tert-butyl ethyl ether,CCOC(C)(C)C,1048
12,1-nonanol,CCCCCCCCCO,613
13,1-octanol,CCCCCCCCO,483
14,hexane,CCCCCC,417
15,2-butoxyethanol,CCCCOCCO,407
16,isooctane,CCCCCC(C)C,404
17,benzene,c1ccccc1,390
18,cyclopentane,C1CCCC1,373
19,n-propyl alcohol,CCCO,357
20,exo-tetrahydrodicyclopentadiene,C1CC2C3CCC(C3)C2C1,352
21,amylcarbinol,CCCCCCO,344
22,"1,3-propanediol",OCCCO,286
23,trans-decalin,C1CC[C@@H]2CCCC[C@H]2C1,278
24,cyclooctane,C1CCCCCCC1,271
25,tert-butanol,CC(C)(C)O,267
26,"1,2-butanediol",CCC(O)CO,264
27,"1,2-dimethoxyethane",COCCOC,252
28,methoxybenzene,COc1ccccc1,244
29,3-methyl-1-butanol,CC(C)CCO,235
30,"1,4-dioxane",C1COCCO1,231
31,1-heptanol,CCCCCCCO,226
32,2-propanol,CC(C)O,217
33,.alpha.-toluenol,OCc1ccccc1,210
34,tetrahydropyran,C1CCOCC1,205
35,"1,3-dioxolane",C1COCO1,192
36,2-methyl-1-propanol,CC(C)CO,189
37,"1,2-ethanediol",OCCO,182
38,2-methyl-1-butanol,CCC(C)CO,173
39,butane,CCCC,163
40,1-butoxy-2-propanol,CCCCOCC(C)O,160
41,"ethanol, 2-propoxy-",CCCOCCO,151
42,"ether, methyl tert-pentyl",CCC(C)(C)OC,136
43,3-methylphenol,Cc1cccc(O)c1,132
44,methyl alcohol,CO,129
45,ethylbenzene,CCc1ccccc1,127
46,2-pentanol,CCCC(C)O,126
47,2-(2-methoxyethoxy)ethanol,COCCOCCO,124
48,2-methoxyethanol,COCCO,122
49,1-pentanol,CCCCCO,121
50,bis(2-hydroxyethyl) ether,OCCOCCO,112
51,isobutylbenzene,CC(C)Cc1ccccc1,100
52,2-methyl-2-butanol,CCC(C)(C)O,98
53,2-hexanol,CCCCC(C)O,90
54,1-butanol,CC(O)CO,88
55,"1,2-propanediol",CCCCO,88
56,"1,3-benzenediol",Oc1cccc(O)c1,70
57,"2,5,8-trioxanonane",COCCOCCOC,69
58,"3,6-dioxa-1-octanol",CCOCCOCCO,60
59,"1,4-butanediol",OCCCCO,59
60,2-ethyl-1-hexanol,CCCCC(CC)CO,58
61,isopropyl ether,CC(C)OC(C)C,56
62,4-methylphenol,CCCCCCC(C)O,55
63,2-octanol,Cc1ccc(O)cc1,55
64,tetrahydrofuran,C1CCOC1,51
65,2-ethoxyethanol,CCOCCO,44
66,2-heptanol,CCCCCC(C)O,42
67,ethyl tert-pentyl ether,CCOC(C)(C)CC,27
68,tetrole,o1cccc1,27
69,2-methyltetrahydrofuran,CC1CCCO1,27
70,"3,6-dioxa-1,8-octanediol",OCCOCCOCCO,26
71,ethoxybenzene,CCOc1ccccc1,25
72,pentane,CCCCC,24
73,3-phenyl-1-propanol,OCCCc1ccccc1,24
74,butylbenzene,CCCc1ccccc1,22
75,propylbenzene,CCCCc1ccccc1,22
76,ethanol,CCO,20
77,dipropylene glycol monomethyl ether,COC(C)COC(C)CO,18
78,"2,5-dimethylfuran",Cc1oc(C)cc1,18
79,ethane,CC,17
80,phenol,Oc1ccccc1,13
81,methane,C,12
82,"2,3-butanediol",CC(O)C(C)O,10
