,filename,components,smiles,"Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
144950,j.jct.2008.09.006,"1,2-dimethoxyethane",COCCOC,,,,,7.408,0.07408,,,,,,,,
144951,j.jct.2008.09.006,"1,2-dimethoxyethane",COCCOC,,,,,7.069,0.07069,,,,,,,,
144952,j.jct.2008.09.006,"1,2-dimethoxyethane",COCCOC,,,,,6.757,0.06757,,,,,,,,
144953,j.jct.2008.09.006,"1,2-dimethoxyethane",COCCOC,,,,,6.456,0.06456,,,,,,,,
144954,j.jct.2008.09.006,"1,2-dimethoxyethane",COCCOC,,,,,6.184,0.06184,,,,,,,,
144955,j.jct.2008.09.006,"1,2-dimethoxyethane",COCCOC,,,,,5.922,0.05922,,,,,,,,
144959,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,948.72,0.02,,,,,,,,,,,,
144960,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,938.83,0.02,,,,,,,,,,,,
144961,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,928.88,0.02,,,,,,,,,,,,
144962,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,919.31,0.02,,,,,,,,,,,,
144963,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,909.21,0.02,,,,,,,,,,,,
144964,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,899.02,0.02,,,,,,,,,,,,
144965,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,,,,,7.648,0.07648,,,,,,,,
144966,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,,,,,7.363,0.07363,,,,,,,,
144967,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,,,,,7.116,0.07116,,,,,,,,
144968,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,,,,,6.886,0.06886,,,,,,,,
144969,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,,,,,6.637,0.06637,,,,,,,,
144970,j.jct.2008.09.006,"2,5,8-trioxanonane",COCCOCCOC,,,,,6.404,0.06404,,,,,,,,
146201,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1109.88,0.05,,,,,,,,,,,,
146202,j.jct.2008.09.018,"1,2-ethanediol",OCCO,,,1654.89,0.5,,,,,,,,,,
146204,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1120.323,0.05,,,,,,,,,,,,
146205,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1118.599,0.05,,,,,,,,,,,,
146206,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1116.86,0.05,,,,,,,,,,,,
146207,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1115.118,0.05,,,,,,,,,,,,
146208,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1113.372,0.05,,,,,,,,,,,,
146209,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1111.624,0.05,,,,,,,,,,,,
146210,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1109.875,0.05,,,,,,,,,,,,
146211,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1108.124,0.05,,,,,,,,,,,,
146212,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1106.365,0.05,,,,,,,,,,,,
146213,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1104.605,0.05,,,,,,,,,,,,
146214,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1102.84,0.05,,,,,,,,,,,,
146215,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1101.073,0.05,,,,,,,,,,,,
146216,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1099.298,0.05,,,,,,,,,,,,
146217,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1097.518,0.05,,,,,,,,,,,,
146218,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1095.736,0.05,,,,,,,,,,,,
146219,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1093.95,0.05,,,,,,,,,,,,
146220,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1092.155,0.05,,,,,,,,,,,,
146221,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1106.46,0.05,,,,,,,,,,,,
146222,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1102.9,0.05,,,,,,,,,,,,
146223,j.jct.2008.09.018,"1,2-ethanediol",OCCO,1099.23,0.05,,,,,,,,,,,,
146227,j.jct.2008.09.018,"1,2-ethanediol",OCCO,,,1666.65,0.5,,,,,,,,,,
146228,j.jct.2008.09.018,"1,2-ethanediol",OCCO,,,1643.08,0.5,,,,,,,,,,
146229,j.jct.2008.09.018,"1,2-ethanediol",OCCO,,,1631.21,0.5,,,,,,,,,,
146230,j.jct.2008.09.018,"1,2-ethanediol",OCCO,,,1619.31,0.5,,,,,,,,,,
146232,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,824.48,0.05,,,,,,,,,,,,
146233,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,,,1364.41,0.5,,,,,,,,,,
146235,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,834.614,0.05,,,,,,,,,,,,
146236,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,832.923,0.05,,,,,,,,,,,,
146237,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,831.224,0.05,,,,,,,,,,,,
146238,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,829.521,0.05,,,,,,,,,,,,
146239,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,827.816,0.05,,,,,,,,,,,,
146240,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,826.106,0.05,,,,,,,,,,,,
146241,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,824.391,0.05,,,,,,,,,,,,
146242,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,822.671,0.05,,,,,,,,,,,,
146243,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,820.949,0.05,,,,,,,,,,,,
146244,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,819.22,0.05,,,,,,,,,,,,
146245,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,817.486,0.05,,,,,,,,,,,,
146246,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,815.748,0.05,,,,,,,,,,,,
146247,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,814.001,0.05,,,,,,,,,,,,
146248,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,812.251,0.05,,,,,,,,,,,,
146249,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,810.496,0.05,,,,,,,,,,,,
146250,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,808.73,0.05,,,,,,,,,,,,
146251,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,806.96,0.05,,,,,,,,,,,,
146252,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,821.05,0.05,,,,,,,,,,,,
146253,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,817.57,0.05,,,,,,,,,,,,
146254,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,814.19,0.05,,,,,,,,,,,,
146258,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,,,1381.62,0.5,,,,,,,,,,
146259,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,,,1347.42,0.5,,,,,,,,,,
146260,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,,,1330.45,0.5,,,,,,,,,,
146261,j.jct.2008.09.018,1-nonanol,CCCCCCCCCO,,,1313.64,0.5,,,,,,,,,,
146582,j.jct.2008.09.021,2-propanol,CC(C)O,776.88,,,,,,,,,,,,,
146588,j.jct.2008.09.021,2-methyl-1-propanol,CC(C)CO,794.34,,,,,,,,,,,,,
146591,j.jct.2008.09.021,2-methyl-2-propanol,CC(C)(C)O,776.16,,,,,,,,,,,,,
146594,j.jct.2008.09.021,3-methyl-1-butanol,CC(C)CCO,801.76,,,,,,,,,,,,,
146647,j.jct.2008.10.002,water,O,998.2,0.1,,,,,,,,,,,,
146648,j.jct.2008.10.002,water,O,997.1,0.1,,,,,,,,,,,,
146649,j.jct.2008.10.002,water,O,995.7,0.1,,,,,,,,,,,,
146650,j.jct.2008.10.002,water,O,994.1,0.1,,,,,,,,,,,,
146651,j.jct.2008.10.002,water,O,992.2,0.1,,,,,,,,,,,,
146652,j.jct.2008.10.002,water,O,990.2,0.1,,,,,,,,,,,,
146653,j.jct.2008.10.002,water,O,,,,,,,75.4,0.2262,,,,,,
146654,j.jct.2008.10.002,water,O,,,,,,,75.3,0.2259,,,,,,
146655,j.jct.2008.10.002,water,O,,,,,,,75.3,0.2259,,,,,,
146656,j.jct.2008.10.002,water,O,,,,,,,75.2,0.2256,,,,,,
146657,j.jct.2008.10.002,water,O,,,,,,,75.2,0.2256,,,,,,
146658,j.jct.2008.10.002,water,O,,,,,,,75.3,0.2259,,,,,,
148334,j.jct.2008.10.009,heptane,CCCCCCC,679.54,,,,,,,,,,,,,
148336,j.jct.2008.10.009,benzene,c1ccccc1,874.16,,,,,,,,,,,,,
148338,j.jct.2008.10.009,toluene,Cc1ccccc1,857.58,,,,,,,,,,,,,
148496,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,804.32,,,,,,,,,,,,,
148497,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,233.4,0.3501,,,,,,
148498,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,234.44,0.35166,,,,,,
148499,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,235.36,0.35304,,,,,,
148500,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,236.15,0.354225,,,,,,
148501,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,237.23,0.355845,,,,,,
148502,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,238.19,0.357285,,,,,,
148503,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,239.11,0.358665,,,,,,
148504,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,240.18,0.36027,,,,,,
148505,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,241.19,0.361785,,,,,,
148506,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,242.22,0.36333,,,,,,
148507,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,243.25,0.364875,,,,,,
148508,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,244.25,0.366375,,,,,,
148509,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,245.3,0.36795,,,,,,
148510,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,246.36,0.36954,,,,,,
148511,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,247.43,0.371145,,,,,,
148512,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,247.45,0.371175,,,,,,
148513,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,248.43,0.372645,,,,,,
148514,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,249.45,0.374175,,,,,,
148515,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,250.56,0.37584,,,,,,
148516,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,251.71,0.377565,,,,,,
148517,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,252.8,0.3792,,,,,,
148518,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,253.86,0.38079,,,,,,
148519,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,255.01,0.382515,,,,,,
148520,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,256.09,0.384135,,,,,,
148521,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,257.16,0.38574,,,,,,
148522,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,258.22,0.38733,,,,,,
148523,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,259.29,0.388935,,,,,,
148524,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,260.36,0.39054,,,,,,
148525,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,261.32,0.39198,,,,,,
148526,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,262.41,0.393615,,,,,,
148527,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,263.51,0.395265,,,,,,
148528,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,264.5,0.39675,,,,,,
148529,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,265.53,0.398295,,,,,,
148530,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,266.49,0.399735,,,,,,
148531,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,267.5,0.40125,,,,,,
148532,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,268.57,0.402855,,,,,,
148533,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,269.56,0.40434,,,,,,
148534,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,270.43,0.405645,,,,,,
148535,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,271.49,0.407235,,,,,,
148536,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,272.37,0.408555,,,,,,
148537,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,273.32,0.40998,,,,,,
148538,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,274.25,0.411375,,,,,,
148539,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,275.15,0.412725,,,,,,
148540,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,276.09,0.414135,,,,,,
148541,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,276.89,0.415335,,,,,,
148542,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,277.86,0.41679,,,,,,
148543,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,278.7,0.41805,,,,,,
148544,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,279.59,0.419385,,,,,,
148545,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,280.35,0.420525,,,,,,
148546,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,281.18,0.42177,,,,,,
148547,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,282.05,0.423075,,,,,,
148548,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,283.0,0.4245,,,,,,
148549,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,283.68,0.42552,,,,,,
148550,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,284.35,0.426525,,,,,,
148551,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,285.19,0.427785,,,,,,
148552,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,285.94,0.42891,,,,,,
148553,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,286.59,0.429885,,,,,,
148554,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,287.37,0.431055,,,,,,
148555,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,287.88,0.43182,,,,,,
148556,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,288.59,0.432885,,,,,,
148557,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,289.15,0.433725,,,,,,
148558,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,289.83,0.434745,,,,,,
148559,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,290.42,0.43563,,,,,,
148560,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,290.94,0.43641,,,,,,
148561,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,291.42,0.43713,,,,,,
148562,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,292.03,0.438045,,,,,,
148563,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,292.61,0.438915,,,,,,
148564,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,293.03,0.439545,,,,,,
148565,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,293.51,0.440265,,,,,,
148566,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,293.87,0.440805,,,,,,
148567,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,294.39,0.441585,,,,,,
148568,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,294.87,0.442305,,,,,,
148569,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,295.24,0.44286,,,,,,
148570,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,295.66,0.44349,,,,,,
148571,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,296.1,0.44415,,,,,,
148572,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,296.36,0.44454,,,,,,
148573,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,296.72,0.44508,,,,,,
148574,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,296.98,0.44547,,,,,,
148575,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,297.18,0.44577,,,,,,
148576,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,297.48,0.44622,,,,,,
148577,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,297.69,0.446535,,,,,,
148578,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,297.95,0.446925,,,,,,
148579,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,298.16,0.44724,,,,,,
148580,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,298.39,0.447585,,,,,,
148581,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,298.46,0.44769,,,,,,
148582,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,298.75,0.448125,,,,,,
148583,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,298.79,0.448185,,,,,,
148584,j.jct.2008.10.010,2-methyl-2-butanol,CCC(C)(C)O,,,,,,,247.44,0.37116,,,,,,
148586,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,942.86,,,,,,,,,,,,,
148587,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,170.24,0.25536,,,,,,
148588,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,170.99,0.256485,,,,,,
148589,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,171.81,0.257715,,,,,,
148590,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,172.53,0.258795,,,,,,
148591,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,173.41,0.260115,,,,,,
148592,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,174.28,0.26142,,,,,,
148593,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,175.01,0.262515,,,,,,
148594,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,175.87,0.263805,,,,,,
148595,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,176.75,0.265125,,,,,,
148596,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,177.58,0.26637,,,,,,
148597,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,178.43,0.267645,,,,,,
148598,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,179.3,0.26895,,,,,,
148599,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,180.09,0.270135,,,,,,
148600,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,180.97,0.271455,,,,,,
148601,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,181.8,0.2727,,,,,,
148602,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,181.83,0.272745,,,,,,
148603,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,182.68,0.27402,,,,,,
148604,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,183.51,0.275265,,,,,,
148605,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,184.44,0.27666,,,,,,
148606,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,185.33,0.277995,,,,,,
148607,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,186.22,0.27933,,,,,,
148608,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,187.09,0.280635,,,,,,
148609,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,188.03,0.282045,,,,,,
148610,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,188.94,0.28341,,,,,,
148611,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,189.83,0.284745,,,,,,
148612,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,190.71,0.286065,,,,,,
148613,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,191.61,0.287415,,,,,,
148614,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,192.53,0.288795,,,,,,
148615,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,193.42,0.29013,,,,,,
148616,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,194.35,0.291525,,,,,,
148617,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,195.28,0.29292,,,,,,
148618,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,196.15,0.294225,,,,,,
148619,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,197.1,0.29565,,,,,,
148620,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,198.01,0.297015,,,,,,
148621,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,198.91,0.298365,,,,,,
148622,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,199.88,0.29982,,,,,,
148623,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,200.81,0.301215,,,,,,
148624,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,201.63,0.302445,,,,,,
148625,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,202.63,0.303945,,,,,,
148626,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,203.57,0.305355,,,,,,
148627,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,204.44,0.30666,,,,,,
148628,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,205.36,0.30804,,,,,,
148629,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,206.28,0.30942,,,,,,
148630,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,207.24,0.31086,,,,,,
148631,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,208.09,0.312135,,,,,,
148632,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,209.05,0.313575,,,,,,
148633,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,209.96,0.31494,,,,,,
148634,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,210.87,0.316305,,,,,,
148635,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,211.73,0.317595,,,,,,
148636,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,212.64,0.31896,,,,,,
148637,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,213.55,0.320325,,,,,,
148638,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,214.51,0.321765,,,,,,
148639,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,215.32,0.32298,,,,,,
148640,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,216.18,0.32427,,,,,,
148641,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,217.08,0.32562,,,,,,
148642,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,218.05,0.327075,,,,,,
148643,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,218.88,0.32832,,,,,,
148644,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,219.81,0.329715,,,,,,
148645,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,220.6,0.3309,,,,,,
148646,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,221.48,0.33222,,,,,,
148647,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,222.33,0.333495,,,,,,
148648,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,223.27,0.334905,,,,,,
148649,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,224.05,0.336075,,,,,,
148650,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,224.85,0.337275,,,,,,
148651,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,225.68,0.33852,,,,,,
148652,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,226.51,0.339765,,,,,,
148653,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,227.32,0.34098,,,,,,
148654,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,228.13,0.342195,,,,,,
148655,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,228.9,0.34335,,,,,,
148656,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,229.66,0.34449,,,,,,
148657,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,230.44,0.34566,,,,,,
148658,j.jct.2008.10.010,cyclopentanol,OC1CCCC1,,,,,,,181.82,0.27273,,,,,,
148660,j.jct.2008.10.010,heptane,CCCCCCC,679.53,,,,,,,,,,,,,
