,Filename,Filename,Count
0,0,j.fluid.2008.03.004,1170
1,1,j.jct.2009.09.001,450
2,2,je901020a,417
3,3,j.fluid.2014.06.005,396
4,4,j.fluid.2013.06.021,280
5,5,je301082y,270
6,6,je5009334,264
7,7,je8000975,235
8,8,j.jct.2007.05.005,234
9,9,j.jct.2006.06.008,234
10,10,je900468u,195
11,11,je100734t,192
12,12,s10765-006-0063-0,180
13,13,j.jct.2013.05.009,168
14,14,je7005727,165
15,15,j.jct.2009.01.008,162
16,16,cs.jced.5b00031,160
17,17,j.jct.2009.03.009,150
18,18,j.jct.2011.09.008,145
19,19,j.jct.2007.05.016,144
20,20,j.jct.2008.02.005,144
21,21,j.jct.2011.06.021,143
22,22,j.jct.2013.04.021,140
23,23,j.jct.2010.10.025,128
24,24,je400512u,126
25,25,j.fluid.2007.01.001,126
26,26,je700281z,123
27,27,je8009336,117
28,28,je050540h,117
29,29,j.jct.2007.02.008,117
30,30,j.jct.2008.06.001,111
31,31,je5004719,108
32,32,je9005344,96
33,33,j.jct.2013.10.025,96
34,34,j.jct.2013.10.013,90
35,35,j.tca.2014.01.027,90
36,36,j.jct.2015.06.009,82
37,37,j.tca.2005.10.008,76
38,38,j.jct.2010.04.018,75
39,39,je901072c,72
40,40,j.jct.2010.07.016,70
41,41,je0601098,70
42,42,j.jct.2006.03.018,66
43,43,j.jct.2005.06.011,66
44,44,je8004613,65
45,45,j.jct.2009.01.010,64
46,46,je900274n,63
47,47,j.jct.2008.09.018,55
48,48,j.jct.2005.12.005,55
49,49,j.jct.2013.06.020,54
50,50,j.jct.2009.09.013,54
51,51,je060389r,48
52,52,s10765-013-1526-8,48
53,53,je900240s,44
54,54,j.tca.2010.03.028,41
55,55,je0502142,38
56,56,je0500330,37
57,57,je0498457,35
58,58,je060017i,34
59,59,je100594u,34
60,60,je0501585,33
61,61,je9010882,32
62,62,je200468r,27
63,63,s10765-009-0665-4,24
64,64,j.jct.2012.05.033,22
65,65,j.jct.2012.08.023,21
66,66,j.jct.2009.06.001,20
67,67,j.fluid.2007.07.066,15
68,68,j.jct.2006.08.007,15
69,69,j.jct.2013.08.033,13
70,70,j.jct.2006.07.015,12
71,71,s10765-010-0719-7,11
72,72,j.tca.2005.08.034,11
73,73,j.jct.2008.09.008,10
74,74,je900064e,8
75,75,j.jct.2006.01.007,6
