,Component,SMILES,Count
0,water,O,22045
1,heptane,CCCCCCC,5740
2,methyl tert-butyl ether,COC(C)(C)C,5191
3,decane,CCCCCCCCCC,3337
4,octane,CCCCCCCC,3310
5,cyclohexane,C1CCCCC1,2471
6,toluene,Cc1ccccc1,2413
7,dibutyl ether,CCCCOCCCC,2151
8,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,2149
9,tert-butyl ethyl ether,CCOC(C)(C)C,1994
10,nonane,CCCCCCCCC,1807
11,methylcyclohexane,CC1CCCCC1,1721
12,1-nonanol,CCCCCCCCCO,1444
13,2-butoxyethanol,CCCCOCCO,1314
14,amylcarbinol,CCCCCCO,869
15,1-octanol,CCCCCCCCO,858
16,isooctane,CCCCCC(C)C,842
17,hexane,CCCCCC,819
18,butane,CCCC,815
19,cyclopentane,C1CCCC1,807
20,"1,4-dioxane",C1COCCO1,794
21,tetrahydropyran,C1CCOCC1,789
22,benzene,c1ccccc1,700
23,"1,2-ethanediol",OCCO,656
24,n-propyl alcohol,CCCO,615
25,"1,2-butanediol",CCC(O)CO,593
26,2-ethoxyethanol,CCOCCO,588
27,methyl alcohol,CO,546
28,2-methoxyethanol,COCCO,528
29,"1,3-propanediol",OCCCO,519
30,tert-butanol,CC(C)(C)O,494
31,2-propanol,CC(C)O,464
32,bis(2-hydroxyethyl) ether,OCCOCCO,461
33,"1,4-butanediol",OCCCCO,459
34,"1,2-dimethoxyethane",COCCOC,446
35,tetrahydrofuran,C1CCOC1,436
36,2-pentanol,CCCC(C)O,429
37,"1,3-dioxolane",C1COCO1,428
38,cyclooctane,C1CCCCCCC1,422
39,methoxybenzene,COc1ccccc1,421
40,2-methyl-1-propanol,CC(C)CO,388
41,2-methylpropane,CC(C)C,387
42,1-heptanol,CCCCCCCO,381
43,isopropyl ether,CC(C)OC(C)C,354
44,exo-tetrahydrodicyclopentadiene,C1CC2C3CCC(C3)C2C1,352
45,1-butoxy-2-propanol,CCCCOCC(C)O,320
46,"ethanol, 2-propoxy-",CCCOCCO,302
47,trans-decalin,C1CC[C@@H]2CCCC[C@H]2C1,293
48,3-methyl-1-butanol,CC(C)CCO,287
49,3-methylphenol,Cc1cccc(O)c1,282
50,.alpha.-toluenol,OCc1ccccc1,258
51,2-(2-methoxyethoxy)ethanol,COCCOCCO,248
52,ethylbenzene,CCc1ccccc1,244
53,"2,5,8-trioxanonane",COCCOCCOC,243
54,2-methyl-1-butanol,CCC(C)CO,229
55,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,215
56,2-methyltetrahydrofuran,CC1CCCO1,205
57,1-butanol,CCCCO,203
58,2-hexanol,CCCCC(C)O,177
59,"ether, methyl tert-pentyl",CCC(C)(C)OC,176
60,2-methyl-2-butanol,CCC(C)(C)O,148
61,1-pentanol,CCCCCO,142
62,"3,6-dioxa-1-octanol",CCOCCOCCO,137
63,paraldehyde,CC1OC(C)OC(C)O1,132
64,2-heptanol,CCCCCC(C)O,129
65,"1,3-dimethylbenzene",Cc1cccc(C)c1,126
66,2-octanol,CCCCCCC(C)O,123
67,methoxymethane,COC,118
68,2-ethyl-1-hexanol,OCCOCCOCCO,116
69,"3,6-dioxa-1,8-octanediol",CCCCC(CC)CO,116
70,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,114
71,"1,2,3,4-tetrahydronaphthalene",C1CCc2ccccc2C1,104
72,isobutylbenzene,CC(C)Cc1ccccc1,100
73,"1,4-dimethylbenzene",Cc1ccc(C)cc1,96
74,"1,2-propanediol",CC(O)CO,88
75,"1,1-diethoxyethane",CCOC(C)OCC,76
76,"1,3-benzenediol",Oc1cccc(O)c1,70
77,cyclohexyl alcohol,OC1CCCCC1,68
78,ethoxybenzene,CCOc1ccccc1,59
79,"ether, dipropyl",CCCOCCC,59
80,3-phenyl-1-propanol,OCCCc1ccccc1,58
81,4-methylphenol,Cc1ccc(O)cc1,55
82,ethyl tert-pentyl ether,CCOC(C)(C)CC,54
83,o-xylene,Cc1ccccc1C,50
84,pentane,CCCCC,44
85,"butane, 2,2-dimethoxy-",CCC(C)(OC)OC,37
86,dipropylene glycol monomethyl ether,COC(C)COC(C)CO,36
87,ethanol,CCO,35
88,tetrole,o1cccc1,27
89,ethane,CC,26
90,methane,C,24
91,phenol,Oc1ccccc1,23
92,butylbenzene,CCCc1ccccc1,22
93,propylbenzene,CCCCc1ccccc1,22
94,"propanol, oxybis-",OCCCOCCCO,21
95,1-methoxy-2-propanol,CCCC(C)C,19
96,2-methylpentane,COCC(C)O,19
97,"2,5-dimethylfuran",Cc1oc(C)cc1,18
98,2-phenylethanol,CCOCCOCC,17
99,"3,6-dioxaoctane",OCCc1ccccc1,17
100,"2,3-butanediol",CC(O)C(C)O,10
101,cycloheptane,C1CCCCCC1,7
102,propane,CCC,4
103,naphthalene,c1ccc2ccccc2c1,1
