,Filename,Count
0,j.jct.2005.10.002,240
1,je4001697,194
2,s10765-006-0110-,140
3,je0604378,129
4,je8009418,129
5,je501106d,96
6,je6005778,89
7,je7004374,88
8,j.jct.2012.09.027,87
9,j.fluid.2008.03.004,75
10,j.tca.2015.08.013,61
11,s10765-006-0079-5,59
12,j.jct.2008.08.003,55
13,je800244q,49
14,j.jct.2008.05.014,48
15,j.jct.2011.01.014,45
16,s10765-009-0607-1,43
17,cs.jced.5b00662,40
18,je5009334,39
19,j.jct.2012.03.013,37
20,j.fluid.2014.06.005,30
21,j.jct.2007.05.005,27
22,je400274f,25
23,j.fluid.2007.07.016,24
24,je700021f,22
25,je5007604,21
26,je300789a,20
27,j.jct.2008.01.015,20
28,j.jct.2014.01.030,18
29,j.fluid.2007.12.007,18
30,je7001804,18
31,j.jct.2012.09.015,18
32,je901020a,18
33,je100734t,16
34,je100652b,16
35,je060353z,16
36,j.jct.2006.06.008,15
37,j.jct.2012.02.007,15
38,j.jct.2007.02.008,15
39,cs.jced.5b00031,15
40,j.jct.2007.02.002,15
41,s10765-006-0063-0,15
42,j.tca.2011.07.023,14
43,j.tca.2012.08.011,14
44,j.jct.2013.11.027,14
45,j.jct.2007.05.016,13
46,je7005727,12
47,je050540h,12
48,j.jct.2011.12.002,12
49,je9006597,12
50,je400539h,12
51,j.jct.2008.02.005,12
52,je400512u,12
53,je5004719,12
54,j.fluid.2014.06.024,12
55,je900689,12
56,j.jct.2013.05.009,12
57,j.fluid.2014.11.005,12
58,j.jct.2009.01.008,11
59,je200609g,11
60,j.jct.2012.11.032,11
61,je900468u,11
62,j.jct.2015.06.009,11
63,j.jct.2008.12.010,10
64,j.tca.2013.12.021,10
65,j.jct.2011.09.008,10
66,j.tca.2014.01.027,10
67,je800594e,10
68,j.jct.2008.09.018,10
69,j.jct.2008.06.001,9
70,je400134d,9
71,je700281z,9
72,j.jct.2013.08.021,9
73,j.tca.2005.10.008,9
74,j.fluid.2006.02.023,9
75,je101358p,9
76,je700029q,9
77,je400722h,9
78,je300384g,9
79,j.jct.2006.03.010,8
80,j.fluid.2007.01.001,8
81,j.jct.2012.02.023,8
82,je100967k,8
83,j.jct.2013.04.017,8
84,j.jct.2009.08.016,8
85,je300134c,7
86,j.fluid.2013.08.029,7
87,j.jct.2015.02.011,7
88,j.jct.2014.03.021,7
89,j.jct.2005.06.011,7
90,j.jct.2010.07.014,7
91,j.tca.2013.08.002,7
92,je100765j,7
93,je5010643,7
94,j.jct.2006.03.018,7
95,j.fluid.2012.08.002,7
96,j.tca.2011.02.004,6
97,j.jct.2014.06.030,6
98,je060210c,6
99,je200504u,6
100,je060017i,6
101,je0501585,6
102,j.jct.2011.09.001,6
103,je800981d,6
104,j.jct.2010.05.016,6
105,j.tca.2011.01.019,6
106,j.jct.2010.12.016,6
107,je900597n,6
108,j.jct.2013.09.008,6
109,je0504459,6
110,j.jct.2013.10.018,6
111,je0601098,6
112,j.jct.2005.12.005,6
113,s10765-013-1526-8,6
114,cs.jced.5b00317,6
115,je050110r,6
116,j.tca.2011.07.005,6
117,j.jct.2012.12.007,6
118,j.jct.2005.10.009,6
119,j.jct.2012.05.023,6
120,je8009336,6
121,je9010882,5
122,j.tca.2014.06.028,5
123,j.jct.2009.01.010,5
124,j.fluid.2013.06.021,5
125,je9003959,5
126,je100610v,5
127,j.jct.2013.05.012,5
128,je050165t,5
129,j.jct.2013.05.003,5
130,cs.jced.5b00343,5
131,je060200b,5
132,j.fluid.2007.07.066,5
133,j.tca.2010.03.012,5
134,j.jct.2015.06.036,5
135,j.tca.2013.12.015,5
136,j.jct.2013.11.021,5
137,s10765-011-0997-8,5
138,j.jct.2013.11.015,5
139,j.jct.2012.03.025,5
140,j.tca.2009.03.014,4
141,je901072c,4
142,j.tca.2012.10.017,4
143,j.jct.2012.04.020,4
144,je500594z,4
145,j.fluid.2011.06.011,4
146,j.jct.2011.08.028,4
147,je049793,4
148,j.jct.2008.01.008,4
149,j.tca.2014.06.026,4
150,j.jct.2013.05.037,4
151,j.jct.2005.09.001,4
152,s10765-009-0665-4,4
153,je400781b,4
154,cs.jced.5b00181,4
155,je060389r,4
156,j.jct.2006.01.016,4
157,j.jct.2008.07.010,4
158,je100594u,4
159,j.jct.2012.08.030,4
160,s10765-008-0399-8,4
161,je401120a,4
162,j.tca.2013.05.015,4
163,j.jct.2009.06.006,4
164,je900442b,4
165,je1008262,4
166,j.jct.2010.11.007,4
167,je900237e,4
168,s10765-009-0562-,4
169,j.jct.2013.08.010,4
170,je900274n,4
171,je800100,3
172,j.tca.2010.04.025,3
173,j.jct.2012.08.026,3
174,je8002699,3
175,j.jct.2012.12.010,3
176,j.jct.2007.04.006,3
177,j.tca.2013.09.006,3
178,je049661s,3
179,j.jct.2014.12.022,3
180,j.jct.2013.09.005,3
181,j.tca.2011.06.003,3
182,j.jct.2013.10.025,3
183,je060228n,3
184,j.jct.2006.10.017,3
185,j.jct.2014.09.011,3
186,s10765-011-1087-7,3
187,j.jct.2007.08.005,3
188,j.jct.2015.03.023,3
189,j.jct.2013.08.016,3
190,j.jct.2007.01.008,3
191,j.jct.2005.08.002,3
192,je7007654,3
193,je060311a,3
194,j.jct.2006.10.004,3
195,je060497d,3
196,j.jct.2012.08.023,3
197,j.tca.2008.06.004,3
198,je201334p,3
199,je1012857,3
200,j.tca.2011.06.020,3
201,j.jct.2013.04.021,3
202,s10765-010-0862-1,3
203,je9005344,3
204,je050294+,3
205,j.jct.2009.02.002,3
206,j.jct.2009.12.008,3
207,je050162g,3
208,je800077r,3
209,j.jct.2006.08.003,2
210,je700338t,2
211,j.jct.2013.08.033,2
212,s10765-010-0719-7,2
213,je060192z,2
214,j.jct.2015.03.004,2
215,j.tca.2005.08.034,2
216,j.jct.2009.06.001,2
217,s10765-006-0047-0,2
218,j.jct.2012.05.033,2
219,je900481e,2
220,s10765-010-0874-,2
221,j.jct.2012.01.022,2
222,j.jct.2013.06.020,2
223,j.jct.2011.01.005,2
224,j.fluid.2014.01.019,2
225,je200468r,2
226,j.jct.2012.11.015,2
227,j.jct.2006.07.015,2
228,je900732r,1
229,j.jct.2013.09.015,1
230,j.jct.2011.10.002,1
231,j.tca.2009.07.011,1
232,je0500330,1
233,je100170v,1
234,je060126,1
235,je201152j,1
236,je1005196,1
237,j.jct.2015.06.029,1
238,je049544,1
239,j.tca.2014.06.031,1
240,j.jct.2012.07.019,1
241,s10765-010-0752-6,1
242,j.jct.2006.07.013,1
