,Filename,Count
0,je060411g,258
1,je800356,247
2,j.jct.2008.10.010,160
3,je500512f,81
4,j.jct.2007.04.011,64
5,j.tca.2006.10.025,48
6,je2013473,41
7,j.jct.2005.03.012,41
8,j.jct.2011.06.019,32
9,j.jct.2014.07.023,32
10,j.jct.2011.08.012,30
11,j.fluid.2013.06.041,25
12,j.tca.2009.01.008,24
13,je060200b,21
14,j.fluid.2014.03.017,21
15,s10765-009-0607-1,18
16,j.tca.2009.11.011,17
17,je600557n,16
18,j.jct.2013.08.033,16
19,je800244q,16
20,j.fluid.2014.06.024,12
21,j.jct.2012.07.018,12
22,j.fluid.2013.08.007,12
23,je5008444,11
24,je0601513,10
25,j.jct.2004.12.010,10
26,j.jct.2007.07.001,9
27,j.jct.2006.10.007,9
28,j.fluid.2013.08.005,8
29,je100671v,8
30,j.jct.2006.11.001,8
31,je800248w,7
32,je800047t,7
33,j.jct.2012.09.027,7
34,j.jct.2012.02.022,6
35,j.tca.2012.02.017,6
36,je401098b,6
37,j.fluid.2005.03.026,6
38,j.jct.2008.10.002,6
39,j.fluid.2008.09.004,6
40,je7002836,6
41,j.jct.2014.01.020,6
42,j.tca.2013.03.017,6
43,j.fluid.2015.05.016,3
44,je9006579,2
