;Filename;Count
0;je800110r;8773
1;je5010214;1866
2;j.jct.2011.10.023;936
3;j.fluid.2012.11.013;400
4;j.tca.2015.08.013;385
5;j.jct.2010.08.010;362
6;je8006875;351
7;j.jct.2012.08.014;351
8;je400055v;347
9;je0502849;270
10;je060411g;269
11;j.jct.2007.05.007;264
12;je700145e;261
13;je049929f;252
14;je800356;247
15;j.jct.2008.02.020;246
16;j.jct.2005.10.002;240
17;je7004374;232
18;j.jct.2011.08.012;226
19;j.jct.2013.05.051;216
20;j.jct.2011.08.016;213
21;s10765-007-0223-;205
22;cs.jced.5b00051;204
23;j.jct.2011.02.008;196
24;je4001697;194
25;cs.jced.5b00152;185
26;j.jct.2004.10.001;182
27;j.fluid.2006.05.032;182
28;j.tca.2014.10.002;180
29;j.jct.2007.11.009;176
30;je0340304;168
31;j.jct.2015.10.006;165
32;j.jct.2008.10.010;163
33;j.jct.2010.03.022;160
34;je400783h;158
35;j.fluid.2008.03.004;150
36;j.jct.2008.12.014;150
37;je060154f;150
38;je7003929;150
39;je700261b;150
40;je050020;148
41;je8009418;148
42;j.jct.2006.07.009;147
43;je0604378;147
44;je060283w;145
45;j.jct.2005.03.016;144
46;s10765-006-0110-;140
47;je800998u;139
48;j.jct.2012.03.013;136
49;je301283e;129
50;je034218n;128
51;j.jct.2014.08.023;126
52;j.jct.2015.05.027;126
53;j.tca.2014.03.043;122
54;cs.jced.5b00662;122
55;j.jct.2012.09.027;122
56;je6005778;121
57;je501065g;116
58;s10765-008-0503-0;114
59;s10765-008-0485-y;114
60;j.fluid.2012.02.007;110
61;j.jct.2012.05.016;110
62;j.fluid.2008.06.007;110
63;j.jct.2011.04.011;108
64;je8005369;108
65;je900414p;104
66;je4003256;102
67;je101361u;102
68;je400274f;100
69;j.tca.2015.06.017;100
70;je050135q;96
71;je501106d;96
72;j.jct.2005.02.003;92
73;je049580w;90
74;je049662k;90
75;j.jct.2011.01.014;90
76;je034101z;90
77;je800244q;88
78;j.jct.2004.10.011;88
79;j.fluid.2007.04.030;88
80;j.jct.2005.09.003;88
81;j.jct.2005.05.019;86
82;j.jct.2008.12.020;84
83;je500512f;81
84;je030136n;81
85;je0342320;80
86;cs.jced.5b00613;80
87;je5009334;79
88;j.fluid.2006.12.011;78
89;j.jct.2012.07.018;77
90;je800024u;76
91;je500062a;75
92;je900105g;74
93;j.jct.2007.03.012;74
94;je034056v;72
95;je800417q;72
96;j.jct.2005.03.006;69
97;j.jct.2007.04.011;69
98;je700188w;68
99;je100927;65
100;je049893r;64
101;s10765-009-0607-1;61
102;je101286a;60
103;j.jct.2007.05.011;60
104;j.fluid.2014.06.005;60
105;j.jct.2004.09.007;60
106;j.fluid.2008.06.014;60
107;je034005y;60
108;j.jct.2012.10.002;60
109;s10765-006-0079-5;59
110;je300148f;59
111;je800012v;56
112;je0499768;56
113;je0340755;55
114;j.jct.2008.08.003;55
115;j.jct.2007.05.005;54
116;j.tca.2006.10.025;54
117;j.jct.2008.05.014;54
118;j.jct.2012.12.003;53
119;j.fluid.2013.08.007;52
120;j.jct.2008.09.018;52
121;j.fluid.2013.06.041;50
122;je7006692;50
123;je049685z;48
124;je700428f;48
125;je100581;48
126;je0503296;47
127;je600554h;46
128;j.jct.2011.06.013;46
129;j.jct.2005.02.004;45
130;je0605036;45
131;j.jct.2005.05.003;45
132;j.fluid.2008.03.009;45
133;je900922;44
134;j.jct.2014.01.020;44
135;je200668a;44
136;je5007604;42
137;je7006549;42
138;j.jct.2008.04.003;42
139;je5007532;42
140;j.jct.2006.09.014;42
141;cs.jced.5b00790;42
142;j.fluid.2006.03.015;42
143;s10765-010-0768-y;42
144;j.jct.2012.09.009;42
145;j.jct.2005.03.012;41
146;je2013473;41
147;je060496;40
148;je300789a;40
149;j.jct.2008.01.015;40
150;j.fluid.2013.11.031;40
151;j.jct.2005.05.020;40
152;je5010164;40
153;je5005752;40
154;j.fluid.2011.11.022;38
155;je200373q;38
156;j.jct.2012.09.026;37
157;j.tca.2011.08.002;37
158;je901020a;36
159;je7001804;36
160;j.jct.2012.09.015;36
161;j.jct.2008.09.006;36
162;je800593p;36
163;j.jct.2014.01.030;36
164;je400529k;36
165;je020140j;36
166;j.fluid.2014.06.024;36
167;je4004806;35
168;j.jct.2009.06.023;33
169;s10765-006-0088-4;33
170;j.jct.2012.11.032;32
171;s10765-015-1980-6;32
172;cs.jced.5b00838;32
173;j.jct.2012.11.007;32
174;je100652b;32
175;j.jct.2014.07.023;32
176;je700499d;32
177;je060353z;32
178;j.jct.2012.06.031;32
179;j.jct.2011.06.019;32
180;je900048r;31
181;je100734t;31
182;j.jct.2013.11.027;31
183;je400149j;31
184;je060200b;31
185;j.jct.2011.10.027;30
186;je500977g;30
187;j.tca.2012.05.036;30
188;j.jct.2013.08.013;30
189;j.jct.2012.02.007;30
190;j.jct.2012.11.011;30
191;je501041r;30
192;je034022n;30
193;j.jct.2007.02.002;30
194;j.tca.2010.05.012;30
195;j.fluid.2011.06.011;30
196;j.jct.2007.02.008;30
197;j.jct.2006.06.008;30
198;cs.jced.5b00031;30
199;je100089s;30
200;s10765-006-0063-0;30
201;je100353j;30
202;j.jct.2014.09.020;30
203;j.tca.2012.05.004;30
204;j.tca.2012.08.011;28
205;je050416y;28
206;j.tca.2011.07.023;28
207;j.jct.2007.10.010;28
208;je100100n;28
209;j.jct.2006.03.018;28
210;j.jct.2006.02.001;28
211;j.jct.2005.03.024;28
212;j.tca.2012.04.002;28
213;j.jct.2005.06.011;28
214;je401124t;28
215;cs.jced.5b00009;28
216;je0600808;27
217;cs.jced.5b00789;27
218;j.jct.2012.01.008;27
219;j.tca.2014.01.027;26
220;j.jct.2013.08.033;26
221;je900722;26
222;j.tca.2014.03.042;25
223;j.jct.2010.06.011;25
224;j.jct.2010.12.009;25
225;j.jct.2014.06.023;25
226;j.jct.2007.05.016;25
227;j.tca.2013.07.012;25
228;je049776w;25
229;j.jct.2012.01.013;25
230;j.tca.2005.10.008;25
231;je400512u;24
232;j.tca.2013.03.025;24
233;j.jct.2004.12.010;24
234;j.jct.2012.10.023;24
235;je050540h;24
236;j.jct.2006.09.007;24
237;j.fluid.2009.11.030;24
238;j.jct.2008.07.005;24
239;j.jct.2006.09.017;24
240;j.jct.2008.02.005;24
241;je900689;24
242;s10765-007-0204-0;24
243;je0301794;24
244;j.fluid.2014.11.005;24
245;j.jct.2013.09.024;24
246;j.fluid.2007.07.016;24
247;j.jct.2009.01.008;24
248;je0201323;24
249;j.jct.2011.12.002;24
250;je5004719;24
251;je100362p;24
252;j.fluid.2014.04.002;24
253;j.fluid.2005.07.009;24
254;j.jct.2013.01.032;24
255;j.jct.2005.12.005;24
256;j.tca.2009.01.008;24
257;je0340248;24
258;je7005727;24
259;je400539h;24
260;je9006597;24
261;j.jct.2013.05.009;24
262;je900468u;23
263;j.jct.2015.06.009;23
264;je0497496;23
265;j.fluid.2007.09.028;23
266;j.jct.2006.11.003;23
267;j.tca.2012.01.007;23
268;j.fluid.2008.02.008;22
269;je049738c;22
270;je700021f;22
271;je900732r;22
272;j.tca.2009.11.011;22
273;je049663c;22
274;je800150h;22
275;je100832h;22
276;je200609g;22
277;je600557n;22
278;je3011979;22
279;j.jct.2012.11.027;21
280;j.jct.2005.03.019;21
281;j.fluid.2014.03.017;21
282;je025606c;21
283;j.jct.2012.10.008;21
284;je060307z;21
285;je7002513;21
286;je050414d;21
287;j.jct.2013.09.043;20
288;j.jct.2006.10.016;20
289;je100577v;20
290;je0500734;20
291;je200707b;20
292;je500153g;20
293;j.jct.2013.01.023;20
294;je700580g;20
295;je400917j;20
296;j.tca.2012.12.008;20
297;j.jct.2013.05.040;20
298;je3013205;20
299;je060179e;20
300;j.jct.2007.11.010;20
301;je300799f;20
302;je400968v;20
303;je050376y;20
304;je401036f;20
305;j.tca.2013.12.021;20
306;j.jct.2013.08.007;20
307;je201222n;20
308;je200806n;20
309;j.tca.2011.05.006;20
310;je1013476;20
311;je0504156;20
312;j.jct.2008.12.010;20
313;je301095j;20
314;j.jct.2006.05.006;20
315;je800594e;20
316;je034208;19
317;je100657n;19
318;j.jct.2004.09.021;18
319;j.fluid.2007.12.007;18
320;cs.jced.5b00537;18
321;j.jct.2007.09.004;18
322;je800930v;18
323;je8009336;18
324;je400722h;18
325;j.fluid.2005.10.022;18
326;je0342825;18
327;je200600p;18
328;je060123k;18
329;j.fluid.2005.05.012;18
330;je0341920;18
331;j.jct.2010.09.008;18
332;je300384g;18
333;j.jct.2008.06.001;18
