,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count all pure 
96,pentyl propyl ether,CCCCCOCCC,8,0,0,0,0,0,0,8
113,butylbenzene,CCCCc1ccccc1,5,0,3,0,0,0,0,8
129,2-octanol,CCCCCCC(C)O,2,1,5,0,0,0,0,8
114,"ethanol, 2-propoxy-",CCCOCCO,4,0,0,3,0,0,0,7
99,propylbenzene,CCCc1ccccc1,6,0,0,0,0,0,0,6
100,"2,5-hexanediol",CC(O)CCC(C)O,6,0,0,0,0,0,0,6
101,ethylcyclohexane,CCC1CCCCC1,6,0,0,0,0,0,0,6
102,"1,2,4-trimethylcyclohexane",CC1CCC(C)C(C)C1,6,0,0,0,0,0,0,6
104,"1,5-hexanediol",CC(O)CCCCO,6,0,0,0,0,0,0,6
105,butylcyclohexane,CCCCC1CCCCC1,6,0,0,0,0,0,0,6
107,"1,2-pentanediol",CCCC(O)CO,5,1,0,0,0,0,0,6
120,methylcyclopentane,CC1CCCC1,3,0,3,0,0,0,0,6
123,isobutylbenzene,CC(C)Cc1ccccc1,3,0,3,0,0,0,0,6
148,"cis-1,2-cyclohexanediol",O[C@H]1CCCC[C@H]1O,0,6,0,0,0,0,0,6
108,.alpha.-methylbenzyl alcohol,CC(O)c1ccccc1,5,0,0,0,0,0,0,5
159,2-methyloctane,CCCCCCC(C)C,0,0,5,0,0,0,0,5
160,"nonane, 2-methyl-",CCCCCCCC(C)C,0,0,5,0,0,0,0,5
161,4-methyloctane,CCCCC(C)CCC,0,0,5,0,0,0,0,5
162,"octane, 3,6-dimethyl-",CCC(C)CCC(C)CC,0,0,5,0,0,0,0,5
163,"heptane, 3,5-dimethyl-",CCC(C)CC(C)CC,0,0,5,0,0,0,0,5
115,ethoxybenzene,CCOc1ccccc1,4,0,0,0,0,0,0,4
122,tert-amyl methyl ether,CCC(C)(C)OC,3,0,1,0,0,0,0,4
116,4-methyl-2-pentanol,CC(C)CC(C)O,3,0,0,0,0,0,0,3
117,2-methyl-1-pentanol,CCCC(C)CO,3,0,0,0,0,0,0,3
118,2-methyl-2-pentanol,CCCC(C)(C)O,3,0,0,0,0,0,0,3
119,paraldehyde,CC1OC(C)OC(C)O1,3,0,0,0,0,0,0,3
121,"2,2-dimethoxypropane",COC(C)(C)OC,3,0,0,0,0,0,0,3
125,3-hexanol,CCCC(O)CC,3,0,0,0,0,0,0,3
127,"1,1-diethoxyethane",CCOC(C)OCC,3,0,0,0,0,0,0,3
128,phenol,Oc1ccccc1,2,0,0,0,0,0,0,2
130,"butane, 2-ethoxy-2-methyl-",CCOC(C)(C)CC,2,0,0,0,0,0,0,2
135,"furfuryl alcohol, tetrahydro-",OCC1CCCO1,1,0,1,0,0,0,0,2
139,2-hydroxymethylfuran,OCc1occc1,1,0,1,0,0,0,0,2
140,dipropylene glycol monomethyl ether,COC(C)COC(C)CO,1,0,1,0,0,0,0,2
141,2-isopropoxyethanol,CC(C)OCCO,1,0,1,0,0,0,0,2
132,"2,2-dimethyl-1,3-dioxolane",CC1(C)OCCO1,1,0,0,0,0,0,0,1
133,butyl tert-butyl ether,CCCCOC(C)(C)C,1,0,0,0,0,0,0,1
134,"3,6-dioxaoctane",CCOCCOCC,1,0,0,0,0,0,0,1
136,1-ethyl-2-methylbenzene,CCc1ccccc1C,1,0,0,0,0,0,0,1
137,3-phenyl-1-propanol,OCCCc1ccccc1,1,0,0,0,0,0,0,1
138,2-(2-propoxyethoxy)ethanol,CCCOCCOCCO,1,0,0,0,0,0,0,1
142,"2,2-dimethyl-1,3-dioxolane-4-methanol",CC1(C)OCC(CO)O1,1,0,0,0,0,0,0,1
149,"1,4-cyclohexanediol, trans-",O[C@@H]1CC[C@@H](O)CC1,0,1,0,0,0,0,0,1
150,5-nonanol,CCCCC(O)CCCC,0,1,0,0,0,0,0,1
151,4-heptanol,CCCC(O)CCC,0,1,0,0,0,0,0,1
152,3-nonanol,CCCCCCC(O)CC,0,1,0,0,0,0,0,1
153,3-octanol,CCCCCC(O)CC,0,1,0,0,0,0,0,1
154,4-nonanol,CCCCCC(O)CCC,0,1,0,0,0,0,0,1
155,2-nonanol,CCCCCCCC(C)O,0,1,0,0,0,0,0,1
156,4-octanol,CCCCC(O)CCC,0,1,0,0,0,0,0,1
