,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary,Mixture Count all,x1,x2,SMILES1,SMILES2
0,benzene__octane,1067,0,13,0,0,0,0,1080,benzene,octane,c1ccccc1,CCCCCCCC
2,2-propanol__water,1012,0,0,0,45,0,0,1057,2-propanol,water,CC(C)O,O
1,cyclohexane__nonane,1031,0,0,0,0,0,0,1031,cyclohexane,nonane,C1CCCCC1,CCCCCCCCC
3,1-propanol__toluene,842,0,0,0,0,0,0,842,1-propanol,toluene,CCCO,Cc1ccccc1
9,ethanol__water,712,0,20,0,83,0,0,815,ethanol,water,CCO,O
8,ethanol__toluene,723,0,71,0,0,0,0,794,ethanol,toluene,CCO,Cc1ccccc1
5,ethanol__methylcyclohexane,753,0,11,0,0,0,0,764,ethanol,methylcyclohexane,CCO,CC1CCCCC1
4,1-heptanol__heptane,756,0,0,0,0,0,0,756,1-heptanol,heptane,CCCCCCCO,CCCCCCC
6,n-octane__n-decane,750,0,0,0,0,0,0,750,n-octane,n-decane,CCCCCCCC,CCCCCCCCCC
7,n-decane__heptane,750,0,0,0,0,0,0,750,n-decane,heptane,CCCCCCCCCC,CCCCCCC
10,ethanol__heptane,708,0,39,0,0,0,0,747,ethanol,heptane,CCO,CCCCCCC
11,2-methyl-2-propanol__water,636,0,6,0,0,0,0,642,2-methyl-2-propanol,water,CC(C)(C)O,O
12,1-butanol__cyclohexane,501,0,51,0,38,0,0,590,1-butanol,cyclohexane,CCCCO,C1CCCCC1
89,tert-pentyl alcohol__heptane,102,0,450,0,0,0,0,552,tert-pentyl alcohol,heptane,CCC(C)(C)O,CCCCCCC
63,"1,4-butanediol__water",142,0,142,0,36,109,109,538,"1,4-butanediol",water,OCCCCO,O
17,1-propoxy-2-propanol__water,318,0,145,0,0,0,0,463,1-propoxy-2-propanol,water,CCCOCC(C)O,O
13,glycerol__water,381,5,0,8,0,0,0,394,glycerol,water,OCC(O)CO,O
38,"1,2-dimethylbenzene__methyl tert-butyl ether",195,0,195,0,0,0,0,390,"1,2-dimethylbenzene",methyl tert-butyl ether,Cc1ccccc1C,COC(C)(C)C
39,"1,3-dimethylbenzene__tert-butyl ethyl ether",195,0,195,0,0,0,0,390,"1,3-dimethylbenzene",tert-butyl ethyl ether,Cc1cccc(C)c1,CCOC(C)(C)C
40,"1,3-dimethylbenzene__methyl tert-butyl ether",195,0,195,0,0,0,0,390,"1,3-dimethylbenzene",methyl tert-butyl ether,Cc1cccc(C)c1,COC(C)(C)C
41,"1,2-dimethylbenzene__tert-butyl ethyl ether",195,0,195,0,0,0,0,390,"1,2-dimethylbenzene",tert-butyl ethyl ether,Cc1ccccc1C,CCOC(C)(C)C
42,"1,4-dimethylbenzene__methyl tert-butyl ether",195,0,195,0,0,0,0,390,"1,4-dimethylbenzene",methyl tert-butyl ether,Cc1ccc(C)cc1,COC(C)(C)C
43,"1,4-dimethylbenzene__tert-butyl ethyl ether",195,0,195,0,0,0,0,390,"1,4-dimethylbenzene",tert-butyl ethyl ether,Cc1ccc(C)cc1,CCOC(C)(C)C
33,methanol__water,212,0,12,0,140,0,0,364,methanol,water,CO,O
14,tert-butanol__water,360,0,0,0,0,0,0,360,tert-butanol,water,CC(C)(C)O,O
27,1-hexanol__dibutyl ether,254,0,54,0,20,0,0,328,1-hexanol,dibutyl ether,CCCCCCO,CCCCOCCCC
15,"1,1,1-trimethanolethane__water",324,0,0,0,0,0,0,324,"1,1,1-trimethanolethane",water,CC(CO)(CO)CO,O
16,n-butyl alcohol__2-methylheptane,324,0,0,0,0,0,0,324,n-butyl alcohol,2-methylheptane,CCCCO,CCCCCC(C)C
25,benzene__cyclohexane,262,0,44,0,0,0,0,306,benzene,cyclohexane,c1ccccc1,C1CCCCC1
84,"1,3-propanediol__water",106,0,0,8,36,64,90,304,"1,3-propanediol",water,OCCCO,O
18,n-butyl alcohol__butyl oxide,300,0,0,0,0,0,0,300,n-butyl alcohol,butyl oxide,CCCCO,CCCCOCCCC
21,cyclohexanol__water,280,0,15,0,0,0,0,295,cyclohexanol,water,OC1CCCCC1,O
19,cyclopentanol__water,287,0,0,0,0,0,0,287,cyclopentanol,water,OC1CCCC1,O
20,bis(2-hydroxyethyl) ether__water,280,0,0,0,0,0,0,280,bis(2-hydroxyethyl) ether,water,OCCOCCO,O
22,cis-decalin__trans-decalin,278,0,0,0,0,0,0,278,cis-decalin,trans-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,C1CC[C@@H]2CCCC[C@H]2C1
71,.beta.-butylene glycol__water,138,0,138,0,0,0,0,276,.beta.-butylene glycol,water,CC(O)CCO,O
