;filename;Pure_Dens_Molecules;Bin_Dens_Mixtures;Pure_Hmol_Molecules;Bin_EME_Mixtures;Pure_Cpmol_Molecules;Bin_EMCp_Mixtures;Property_Score;nan_Count;Pure_Dens_Counts;Bin_Dens_Counts;Pure_Hmol_Counts;Bin_EME_Counts;Pure_Cpmol_Counts;Bin_EMCp_Counts;Component_Score;Aggregate_Score
963;je901020a;"[""'C1CCCC1'"", ""'C1CCCCC1'"", ""'CC1CCCCC1'"", ""'C1CCCCCCC1'"", ""'Cc1ccccc1C'"", ""'Cc1cccc(C)c1'"", ""'Cc1ccc(C)cc1'"", ""'Cc1cc(C)cc(C)c1'""]";"[""'Cc1ccccc1C__C1CCCC1'"", ""'Cc1cccc(C)c1__C1CCCC1'"", ""'Cc1ccc(C)cc1__C1CCCC1'"", ""'Cc1cc(C)cc(C)c1__C1CCCC1'"", ""'Cc1ccccc1C__C1CCCCC1'"", ""'Cc1cccc(C)c1__C1CCCCC1'"", ""'Cc1ccc(C)cc1__C1CCCCC1'"", ""'Cc1cc(C)cc(C)c1__C1CCCCC1'"", ""'Cc1ccccc1C__CC1CCCCC1'"", ""'Cc1cccc(C)c1__CC1CCCCC1'"", ""'Cc1ccc(C)cc1__CC1CCCCC1'"", ""'Cc1cc(C)cc(C)c1__CC1CCCCC1'"", ""'Cc1ccccc1C__C1CCCCCCC1'"", ""'Cc1cccc(C)c1__C1CCCCCCC1'"", ""'Cc1ccc(C)cc1__C1CCCCCCC1'"", ""'Cc1cc(C)cc(C)c1__C1CCCCCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;8;16;1;1;1;1;24.0;26.0
578;je050085p;"[""'COc1ccccc1'"", ""'CCOc1ccccc1'"", ""'OCc1ccccc1'"", ""'OCCc1ccccc1'"", ""'OCCCc1ccccc1'""]";"[""'OCc1ccccc1__COc1ccccc1'"", ""'OCCc1ccccc1__COc1ccccc1'"", ""'COc1ccccc1__OCCCc1ccccc1'"", ""'OCc1ccccc1__CCOc1ccccc1'"", ""'OCCc1ccccc1__CCOc1ccccc1'"", ""'CCOc1ccccc1__OCCCc1ccccc1'""]";['nan'];"[""'OCc1ccccc1__COc1ccccc1'"", ""'OCCc1ccccc1__COc1ccccc1'"", ""'COc1ccccc1__OCCCc1ccccc1'"", ""'OCc1ccccc1__CCOc1ccccc1'"", ""'OCCc1ccccc1__CCOc1ccccc1'"", ""'CCOc1ccccc1__OCCCc1ccccc1'""]";['nan'];['nan'];3.0;-3.0;5;6;1;6;1;1;17.0;20.0
118;j.fluid.2013.06.041;"[""'OCCO'"", ""'OCCCO'"", ""'CC(O)CO'"", ""'OCCCCO'"", ""'CCCCC(O)CO'""]";['nan'];['nan'];['nan'];"[""'OCCO'"", ""'OCCCO'"", ""'CC(O)CO'"", ""'OCCCCO'"", ""'CCCCC(O)CO'""]";"[""'OCCO__O'"", ""'CC(O)CO__O'"", ""'OCCCO__O'"", ""'OCCCCO__O'"", ""'CCCCC(O)CO__O'""]";3.0;-3.0;5;1;1;1;5;5;15.0;18.0
927;je900468u;"[""'C1CCCCC1'"", ""'CC1CCCCC1'"", ""'C1CCCCCCC1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'CCc1ccccc1'""]";"[""'c1ccccc1__C1CCCCC1'"", ""'c1ccccc1__CC1CCCCC1'"", ""'Cc1ccccc1__C1CCCCC1'"", ""'CC1CCCCC1__Cc1ccccc1'"", ""'CCc1ccccc1__C1CCCCC1'"", ""'CCc1ccccc1__CC1CCCCC1'"", ""'c1ccccc1__C1CCCCCCC1'"", ""'Cc1ccccc1__C1CCCCCCC1'"", ""'CCc1ccccc1__C1CCCCCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;9;1;1;1;1;15.0;17.0
983;s10765-009-0667-2;"[""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'CCc1ccccc1'"", ""'CCCCCCC'"", ""'C1CCCCCCC1'""]";"[""'c1ccccc1__Cc1ccccc1'"", ""'CCc1ccccc1__Cc1ccccc1'"", ""'Cc1ccccc1__CCCCCCC'"", ""'CCc1ccccc1__CCCCCCC'"", ""'c1ccccc1__CCc1ccccc1'"", ""'c1ccccc1__CCCCCCC'"", ""'c1ccccc1__C1CCCCCCC1'"", ""'Cc1ccccc1__C1CCCCCCC1'"", ""'CCc1ccccc1__C1CCCCCCC1'"", ""'CCCCCCC__C1CCCCCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;10;1;1;1;1;15.0;17.0
900;je8009336;"[""'C1CCCC1'"", ""'C1CCCCC1'"", ""'CC1CCCCC1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'CCc1ccccc1'""]";"[""'c1ccccc1__C1CCCC1'"", ""'Cc1ccccc1__C1CCCC1'"", ""'CCc1ccccc1__C1CCCC1'"", ""'c1ccccc1__C1CCCCC1'"", ""'Cc1ccccc1__C1CCCCC1'"", ""'CCc1ccccc1__C1CCCCC1'"", ""'c1ccccc1__CC1CCCCC1'"", ""'CC1CCCCC1__Cc1ccccc1'"", ""'CCc1ccccc1__CC1CCCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;9;1;1;1;1;15.0;17.0
649;je100095p;"[""'OCc1ccccc1'"", ""'CO'"", ""'CCO'"", ""'CCCO'"", ""'CCCCO'"", ""'CCCCCO'"", ""'CCCCCCO'""]";['nan'];['nan'];"[""'CO__OCc1ccccc1'"", ""'CCO__OCc1ccccc1'"", ""'CCCO__OCc1ccccc1'"", ""'CCCCO__OCc1ccccc1'"", ""'CCCCCO__OCc1ccccc1'"", ""'OCc1ccccc1__CCCCCCO'""]";['nan'];['nan'];2.0;-4.0;7;1;1;6;1;1;13.0;15.0
612;je060086;"[""'CC(O)CO'"", ""'CO'"", ""'CCO'"", ""'CCCO'"", ""'CCCCO'"", ""'CCCCCO'"", ""'CCCCCCO'""]";['nan'];['nan'];"[""'CC(O)CO__CO'"", ""'CC(O)CO__CCO'"", ""'CC(O)CO__CCCO'"", ""'CC(O)CO__CCCCO'"", ""'CC(O)CO__CCCCCO'"", ""'CC(O)CO__CCCCCCO'""]";['nan'];['nan'];2.0;-4.0;7;1;1;6;1;1;13.0;15.0
226;j.jct.2006.03.018;"[""'COc1ccccc1'"", ""'CCO'"", ""'CCCO'"", ""'CC(C)O'"", ""'CCCCO'"", ""'CCCCCO'"", ""'CC(C)CCO'""]";"[""'CCO__COc1ccccc1'"", ""'CCCO__COc1ccccc1'"", ""'CC(C)O__COc1ccccc1'"", ""'CCCCO__COc1ccccc1'"", ""'CCCCCO__COc1ccccc1'"", ""'COc1ccccc1__CC(C)CCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;7;6;1;1;1;1;13.0;15.0
212;j.jct.2005.06.011;"[""'CC1CCCCC1'"", ""'CCCO'"", ""'CC(C)O'"", ""'CCCCO'"", ""'CC(C)CO'"", ""'CC(C)CCO'"", ""'CCO'""]";"[""'CCO__CC1CCCCC1'"", ""'CCCO__CC1CCCCC1'"", ""'CC(C)O__CC1CCCCC1'"", ""'CCCCO__CC1CCCCC1'"", ""'CC(C)CO__CC1CCCCC1'"", ""'CC1CCCCC1__CC(C)CCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;7;6;1;1;1;1;13.0;15.0
