,Component,SMILES,Count
0,2-methyl-2-butanol,CCC(C)(C)O,88
1,ethanol,CCO,86
2,methoxymethane,COC,81
3,methanol,CO,75
4,2-methyl-1-butanol,CCC(C)CO,73
5,"1,4-butanediol",OCCCCO,68
6,water,O,54
7,hexylene glycol,OCCCCCCO,51
8,1-butanol,CCCCO,49
9,2-pentanol,OCCO,47
10,"1,3-propanediol",CCCC(C)O,47
11,"1,2-ethanediol",OCCCO,47
12,heptane,CCCCCCC,39
13,"1,2-butanediol",CCC(O)CO,30
14,cyclohexane,C1CCCCC1,21
15,1-propanol,CCCO,18
16,"1,2-propanediol",CC(O)CO,12
17,1-octanol,CCCCCCCCO,12
18,octane,CCCCCCCC,11
19,tetrahydropyran,C1CCOCC1,11
20,2-methylheptane,CCCCCC(C)C,10
21,1-hexanol,CCCCCCO,8
22,"1,3-butanediol",CCCCCCCCCC,8
23,decane,CC(O)CCO,8
24,2-ethyl-1-butanol,CCC(CC)CO,7
25,bis(2-hydroxyethyl) ether,OCCOCCOCCO,6
26,2-propanol,OCCOCCO,6
27,triethylene glycol,c1ccccc1,6
28,benzene,CC(C)O,6
29,toluene,Cc1ccccc1,3
30,xylene,Cc1ccccc1C,3
31,"1,4-dimethylbenzene",Cc1ccc(C)cc1,3
32,"1,2-pentanediol",CCCC(O)CO,1
